number,name,octave,note in octave,frequency (base 440Hz),frequency (base 435Hz),C64 manual frequency,PAL frequency,NTSC frequency,PAL frequency 435Hz,NTSC frequency 435Hz,MIDI note number
79,G,6,7,1567.981743926997,1550.1637695641903,25721,26700,25722,26397,25429,103
80,G#,6,8,1661.2187903197805,1642.3413040661467,27251,28288,27251,27966,26942,104
81,A,6,9,1760.0,1740.0,28871,29970,28872,29629,28544,105
82,A#,6,10,1864.6550460723597,1843.4657841851738,30588,31752,30589,31391,30241,106
83,B,6,11,1975.533205024496,1953.0839640583088,32407,33640,32407,33258,32039,107
84,C,7,0,2093.004522404789,2069.2203801047344,34334,35641,34334,35236,33944,108
85,C#,7,1,2217.4610478149766,2192.2626268170793,36376,37760,36376,37331,35963,109
86,D,7,2,2349.31814333926,2322.6213462558594,38539,40005,38539,39551,38101,110
87,D#,7,3,2489.0158697766474,2460.7315985291857,40830,42384,40831,41902,40367,111
88,E,7,4,2637.02045530296,2607.0543137654263,43258,44904,43259,44394,42767,112
89,F,7,5,2793.825851464031,2762.077830424667,45830,47574,45831,47034,45310,113
90,F#,7,6,2959.955381693075,2926.3195250829262,48556,50403,48556,49831,48004,114
91,G,7,7,3135.9634878539946,3100.327539128381,51443,53401,51444,52794,50859,115
92,G#,7,8,3322.437580639561,3284.682608132293,54502,56576,54503,55933,53883,116
93,A,7,9,3520.0,3480.0,57743,59940,57743,59259,57087,117
94,A#,7,10,3729.3100921447194,3686.9315683703476,61176,63504,61177,62783,60482,118
95,B,7,11,3951.066410048992,3906.1679281166175,64814,67280,64815,66516,64078,119
